sample,fastq_1,fastq_2,strandedness
1_cell,reads/SRR962090.fastq.gz,,auto
2_cell,reads/SRR962091.fastq.gz,,auto
mpfc_010,reads/SRR962092.fastq.gz,,auto
mpfc_050,reads/SRR962095.fastq.gz,,auto
mpfc_100,reads/SRR962098.fastq.gz,,auto
mpfc_150,reads/SRR962101.fastq.gz,,auto
mpfc_200,reads/SRR962106.fastq.gz,,auto
mpfc_220,reads/SRR962109.fastq.gz,,auto
mpfc_260,reads/SRR962112.fastq.gz,,auto
mpfc_300,reads/SRR962116.fastq.gz,,auto
mpfc_340,reads/SRR962119.fastq.gz,,auto
mpfc_400,reads/SRR962127.fastq.gz,,auto
mpfc_410,reads/SRR962129.fastq.gz,,auto
mpfc_450,reads/SRR962133.fastq.gz,,auto
mpfc_490,reads/SRR962134.fastq.gz,,auto
mpfc_510,reads/SRR962135.fastq.gz,,auto
mpfc_620,reads/SRR962137.fastq.gz,,auto
mpfc_750,reads/SRR962141.fastq.gz,,auto
mpfc_800,reads/SRR962143.fastq.gz,,auto
mpfc_810,reads/SRR962144.fastq.gz,,auto
mpfc_830,reads/SRR962145.fastq.gz,,auto
