sample,accession
PDtr,SRX343342
PD_(E8++),SRX343341
PD_(E8+),SRX343340
PD_(E8)_rep2,SRX343339
PD_(E8)_rep1,SRX343338
PD_(E4+)_rep3,SRX343337
PD_(E4+)_rep2,SRX343336
PD_(E4+)_rep1,SRX343335
PD_(E4)_rep2,SRX343334
PD_(E4)_rep1,SRX343333
P4D_(E2+)_rep2,SRX343332
P4D_(E2+)_rep1,SRX343331
P4D_(E2)_rep2,SRX343330
P4D_(E2)_rep1,SRX343329
P3_(E)_rep3,SRX343328
P3_(E)_rep2,SRX343327
P3_(E)_rep1,SRX343326
Ctr_rep3,SRX343325
Ctr_rep2,SRX343324
Ctr_rep1,SRX343323
C_(E8++)_rep1,SRX343322
C_(E8++)_rep2,SRX343321
C_(E8+),SRX343320
C_(E8)_rep2,SRX343319
C_(E8)_rep1,SRX343318
C_(E4+)_rep2,SRX343317
C_(E4+)_rep1,SRX343316
C_(E4)_rep2,SRX343315
C_(E4)_rep1,SRX343314
C_(E2+)_rep2,SRX343313
C_(E2+)_rep1,SRX343312
C_(E2)_rep3,SRX343311
C_(E2)_rep2,SRX343310
C_(E2)_rep1,SRX343309
C_(E)_rep3,SRX343308
C_(E)_rep2,SRX343307
C_(E)_rep1,SRX343306
ABtr_rep3,SRX343305
ABtr_rep2,SRX343304
ABtr_rep1,SRX343303
AB_(E8++)_rep3,SRX343302
AB_(E8++)_rep2,SRX343301
AB_(E8++)_rep1,SRX343300
AB_(E8+)_rep3,SRX343299
AB_(E8+)_rep2,SRX343298
AB_(E8+)_rep1,SRX343297
AB_(E8)_rep3,SRX343296
AB_(E8)_rep2,SRX343295
AB_(E8)_rep1,SRX343294
AB_(E4+)_rep2,SRX343293
AB_(E4+)_rep1,SRX343292
AB_(E4)_rep3,SRX343291
AB_(E4)_rep2,SRX343290
AB_(E4)_rep1,SRX343289
AB_(E2+)_rep3,SRX343288
AB_(E2+)_rep2,SRX343287
AB_(E2+)_rep1,SRX343286
AB_(E2)_rep3,SRX343285
AB_(E2)_rep2,SRX343284
AB_(E2)_rep1,SRX343283
AB_(E)_rep3,SRX343282
AB_(E)_rep2,SRX343281
AB_(E)_rep1,SRX343280
MStr_rep3,SRX343279
MStr_rep2,SRX343278
MStr_rep1,SRX343277
MS16_(E8++),SRX343276
MS16_(E8+)_rep3,SRX343275
MS16_(E8+)_rep2,SRX343274
MS16_(E8+)_rep1,SRX343273
MS16_(E8)_rep3,SRX343272
MS16_(E8)_rep2,SRX343271
MS16_(E8)_rep1,SRX343270
MS8_(E4+)_rep3,SRX343269
MS8_(E4+)_rep2,SRX343268
MS8_(E4+)_rep1,SRX343267
MS4_(E4)_rep3,SRX343266
MS4_(E4)_rep2,SRX343265
MS4_(E4)_rep1,SRX343264
MS4_(E2+)_rep3,SRX343263
MS4_(E2+)_rep2,SRX343262
MS4_(E2+)_rep1,SRX343261
MS2_(E2)_rep3,SRX343260
MS2_(E2)_rep2,SRX343259
MS2_(E2)_rep1,SRX343258
MS_(E)_rep3,SRX343257
MS_(E)_rep2,SRX343256
MS_(E)_rep1,SRX343255
Etr_rep3,SRX343254
Etr_rep2,SRX343253
Etr_rep1,SRX343252
E8++,SRX343251
E8+_rep3,SRX343250
