run,timepoint
SRR8611943,300
SRR8611944,300
SRR8611945,300
SRR8611946,300
SRR8611947,300
SRR8611948,300
SRR8611949,300
SRR8611950,300
SRR8611951,300
SRR8611952,300
SRR8611953,300
SRR8611954,300
SRR8611955,400
SRR8611956,400
SRR8611957,400
SRR8611958,400
SRR8611959,400
SRR8611960,400
SRR8611961,400
SRR8611962,400
SRR8611963,400
SRR8611964,400
SRR8611965,400
SRR8611966,400
SRR8611967,500
SRR8611968,500
SRR8611969,500
SRR8611970,500
SRR8611971,500
SRR8611972,500
SRR8611973,500
SRR8611974,500
SRR8611975,500
SRR8611976,500
SRR8611977,500
SRR8611978,500
