sample,fastq_1,fastq_2
SRR8611943_t300,reads/SRR8611943_1.fastq.gz,reads/SRR8611943_2.fastq.gz
SRR8611944_t300,reads/SRR8611944_1.fastq.gz,reads/SRR8611944_2.fastq.gz
SRR8611945_t300,reads/SRR8611945_1.fastq.gz,reads/SRR8611945_2.fastq.gz
SRR8611946_t300,reads/SRR8611946_1.fastq.gz,reads/SRR8611946_2.fastq.gz
SRR8611947_t300,reads/SRR8611947_1.fastq.gz,reads/SRR8611947_2.fastq.gz
SRR8611948_t300,reads/SRR8611948_1.fastq.gz,reads/SRR8611948_2.fastq.gz
SRR8611949_t300,reads/SRR8611949_1.fastq.gz,reads/SRR8611949_2.fastq.gz
SRR8611950_t300,reads/SRR8611950_1.fastq.gz,reads/SRR8611950_2.fastq.gz
SRR8611951_t300,reads/SRR8611951_1.fastq.gz,reads/SRR8611951_2.fastq.gz
SRR8611952_t300,reads/SRR8611952_1.fastq.gz,reads/SRR8611952_2.fastq.gz
SRR8611953_t300,reads/SRR8611953_1.fastq.gz,reads/SRR8611953_2.fastq.gz
SRR8611954_t300,reads/SRR8611954_1.fastq.gz,reads/SRR8611954_2.fastq.gz
SRR8611955_t400,reads/SRR8611955_1.fastq.gz,reads/SRR8611955_2.fastq.gz
SRR8611956_t400,reads/SRR8611956_1.fastq.gz,reads/SRR8611956_2.fastq.gz
SRR8611957_t400,reads/SRR8611957_1.fastq.gz,reads/SRR8611957_2.fastq.gz
SRR8611958_t400,reads/SRR8611958_1.fastq.gz,reads/SRR8611958_2.fastq.gz
SRR8611959_t400,reads/SRR8611959_1.fastq.gz,reads/SRR8611959_2.fastq.gz
SRR8611960_t400,reads/SRR8611960_1.fastq.gz,reads/SRR8611960_2.fastq.gz
SRR8611961_t400,reads/SRR8611961_1.fastq.gz,reads/SRR8611961_2.fastq.gz
SRR8611962_t400,reads/SRR8611962_1.fastq.gz,reads/SRR8611962_2.fastq.gz
SRR8611963_t400,reads/SRR8611963_1.fastq.gz,reads/SRR8611963_2.fastq.gz
SRR8611964_t400,reads/SRR8611964_1.fastq.gz,reads/SRR8611964_2.fastq.gz
SRR8611965_t400,reads/SRR8611965_1.fastq.gz,reads/SRR8611965_2.fastq.gz
SRR8611966_t400,reads/SRR8611966_1.fastq.gz,reads/SRR8611966_2.fastq.gz
SRR8611979_t500,reads/SRR8611979_1.fastq.gz,reads/SRR8611979_2.fastq.gz
SRR8611980_t500,reads/SRR8611980_1.fastq.gz,reads/SRR8611980_2.fastq.gz
SRR8611981_t500,reads/SRR8611981_1.fastq.gz,reads/SRR8611981_2.fastq.gz
SRR8611982_t500,reads/SRR8611982_1.fastq.gz,reads/SRR8611982_2.fastq.gz
SRR8611983_t500,reads/SRR8611983_1.fastq.gz,reads/SRR8611983_2.fastq.gz
SRR8611984_t500,reads/SRR8611984_1.fastq.gz,reads/SRR8611984_2.fastq.gz
SRR8611985_t500,reads/SRR8611985_1.fastq.gz,reads/SRR8611985_2.fastq.gz
SRR8611986_t500,reads/SRR8611986_1.fastq.gz,reads/SRR8611986_2.fastq.gz
